address,block,validity,multisig,option,importance
NAYGM4OZYDKJBJL3J5QJ46EPZELDED3FPSGSVERG,1537499,Valid,false,yes,0
NBAQIXHQK2T545HY4A7YQPJ46N54WMRQDS2TYDBD,1537499,Valid,false,yes,0.000011099135112805984
ND2YEWGP365UW7FBXJSDFXSTHLS7LRTMHRC2KB2H,1537495,Valid,false,yes,0.000013288030065700281
NCFEUWG5RDT2SRPYG5DTA4I7CMDIMODWRSYBINKB,1537420,Valid,false,yes,0.0000094529070917742
NBKPRISXVACFURYIEDQ57VDY5ZNKZXN3EKES6HXV,1537404,Valid,false,yes,0.0002326927234173401
NCROFMDHZD6JGMYORRYVEK7CYIVJZMSSEUOJIWML,1537390,Valid,false,yes,0.000009649862296731782
NBQEJBSDIMBRP727QNQVPVYR2SOZ4VWRCZX5GUGU,1537330,Valid,false,yes,0.000009379498451216204
NDBXSES2QX6MGKUKM3N6ESRQ4WIUOFEMHEVQYYOH,1537296,Valid,false,yes,0
ND7IO2QKPHN5UN23O5ODWHPTLTKPIS3WD33RS24A,1537271,Valid,false,yes,0
NBPLU5EJLHRZXHU4MLRA372KTTDIZNWVPWUXYXT4,1537221,Valid,false,yes,0.000009519663173250908
NBCEUR2GOPV3JFJWBAK7CMARZXPRRTKJI2NXIKSC,1537215,Valid,false,yes,0.000013177838687517627
NBWL226SR2SUMNYZXV54HWRFJHVPLHPTWIY5QHF2,1531792,Multiple Vote,false,yes,0.000010433092554713466
NCOVZTFGKBEK2TPT7LEPPLXC7KMMISN6JG2LOZRH,1537206,Valid,false,yes,0.000009640591150636227
NDZG7CEBFVFQAEHRLIWFZV3XRTSTH7BZUPEPOI7J,1537153,Valid,false,yes,0.000009436302990393267
NCZQZHIPAJSIFPUTXJBWEMVCRGQJ7ROO4BEMJ7AD,1537143,Valid,false,yes,0
NAWO64O33G4UPBUYWZPAFR6CFWD2NGFA5QMMHB2T,1531114,Multiple Vote,false,yes,0
NBE7XTMC3VNMGHDZUOXFHUIEAQ4A3T4BZ4PZFOGG,1537072,Valid,false,yes,0.000013569407782051307
NBJZ7MLK7EQXTHUGV7YTSMNM4ZUH4MMFNFTD4K27,1536965,Valid,false,yes,0.000021535968568346288
NDFC327TNXY7755HIBG4Q7P5LIUSI5BE6KVTX4VK,1536909,Valid,true,yes,0.0001777173424510265
NA6BEZWTKU6ILCEKRTYNJBWXMZJRB7VGRK2ULTAQ,1536726,Valid,false,yes,0
NACHUIVTK4CLYQU2LDCCZ3KEA7TJ4UTPAVMWQNFT,1536682,Valid,false,yes,0.0003082172999125844
NAXELONHBATWGKRJA6SE62YCHTA3U3OC4MEI2RCM,1536682,Valid,false,yes,0.00030815712001249797
NAIVE43D3SLI5MFIIXRFIY64RKOWIYQQQ6MBM2CC,1536682,Valid,false,yes,0.00030862299606543254
NBIRDQCN2YFGYLPX4AGZHTEBKKDJYYGGNVJTPKKD,1536682,Valid,false,yes,0.0003125520071887331
NBLBZBS4QKCKR62F5X6XPIJCMF7M7QQJB7SFUJCB,1536669,Valid,true,yes,0.00001353559155868731
NB626S4PEBMSBTDZ5U6Q5KVWPIJOYFPZXNT4VAHM,1536508,Valid,false,yes,0.000009456767997338407
NBJ3TTPWIB4WKY4UTB5J2G7QRDMKHWCQ5BUULINS,1536416,Valid,false,yes,0.00001017179670470243
NCPP47QMUCXXGXLGD73PMVLXIXVONUH3CMYB6WYD,1536379,Valid,false,yes,0.000010626265810050313
